code,name
KL,荷蘭航空
GA,嘉魯達印尼航空
KE,大韓航空
DL,達美航空
QV,寮國航空
BI,汶萊皇家航空
LH,德國漢莎航空
MP,馬丁航空
MH,馬來西亞航空
OM,蒙古民用航空
8M,緬甸航空
OD,峇迪航空
VS,維珍大西洋航空
VN,越南航空
VJ,越捷航空
3U,四川航空
SC,山東航空
FM,上海航空
MF,廈門航空
5J,宿霧太平洋航空
C6,中亞航空
UL,斯里蘭卡航空
LX,瑞士航空
ZA,天空吳哥航空
SK,北歐航空
DV,斯卡特航空
TR,酷航
ZH,深圳航空
SQ,新加坡航空
9G,太陽冨國航空
AA,美國航空
OZ,韓亞航空
AM,墨西哥航空
AS,阿拉斯加航空
EK,阿聯酋航空
BR,長榮航空
KC,阿斯塔納航空
AF,法國航空
M0,蒙古航空
RF,可依航空
NX,澳門航空
BX,釜山航空
RS,首爾航空
AK,亞洲航空
D7,全亞洲航空
AI,印度航空
NQ,Air Japan
AC,加拿大航空
YP,AIR PREMIA
ET,衣索比亞航空
EY,阿提哈德航空
HY,烏茲別克航空
WS,西捷航空
UA,聯合航空
ZE,易斯達航空
7C,濟州航空
JQ,捷星航空
CA,中國國際航空
CZ,中國南方航空
MU,中國東方航空
HU,海南航空
CI,中華航空
LJ,真航空
ZG,ZIPAIR Tokyo
GS,天津航空
QW,青島航空
9C,春秋航空
HH,東翼航空
QR,卡達航空
CX,國泰航空
IT,台灣虎航
SL,泰國獅子航空
TG,泰國國際航空
TK,土耳其航空
TW,德威航空
WE,帕拉塔航空
LO,波蘭航空
MM,樂桃航空
AY,芬蘭航空
Z2,菲律賓亞洲航空
PR,菲律賓航空
HA,夏威夷航空
UO,香港快運航空
HX,香港航空
