code,name
3U,四川航空
5J,宿霧航空
7C,濟州航空
9C,春秋航空
AC,加拿大航空
AF,法國航空
AK,亞洲航空
AS,阿拉斯加航空
AY,芬蘭航空
BR,長榮航空
BX,釜山航空
CA,中國國際航空
CI,中華航空
CX,國泰航空
CZ,中國南方航空
D7,全亞洲航空
EK,阿聯酋航空
EY,阿提哈德航空
FM,上海航空
GA,嘉魯達印尼航空
GJ,長龍航空
GK,捷星日本
GS,天津航空
hb,大灣區航空
HO,吉祥航空
HU,海南航空
HX,香港航空
IT,台灣虎航
JL,日本航空
JQ,捷星航空
JX,星宇航空
KE,大韓航空
KL,荷蘭航空
LH,漢莎航空
LJ,真航空
MF,廈門航空
MH,馬來西亞
MM,樂桃航空
MU,中國東方航空
NH,全日本空輸
NX,澳門航空
OD,峇迪航空
OM,蒙古民用航空
OZ,韓亞航空
PG,曼谷航空
PR,菲律賓航空
QR,卡達航空
QW,青島航空
RF,可依航空
RS,首爾航空
SC,山東航空
SL,泰國獅子航空
SQ,新加坡航空
TG,泰國國際航空
TK,土耳其航空
TR,酷航
TW,德威航空
UA,聯合航空
UO,香港快運
VJ,越捷航空
VN,越南航空
VZ,泰越捷航空
WE,帕拉塔航空
XJ,泰國亞洲航空長途
ZE,易斯達航空
ZH,深圳航空
