code,name
3U,四川航空
5J,宿霧太平洋航空
7C,濟州航空
9C,春秋航空
AA,美國航空
AC,加拿大航空
RF,可依航空
M0,蒙古航空
AF,法國航空
YP,AIR PREMIA
AS,阿拉斯加航空
AM,墨西哥航空
AY,芬蘭航空
OD,峇迪航空
BI,汶萊皇家航空
BG,孟加拉航空
BR,長榮航空
BX,釜山航空
CA,中國國際航空
CI,中華航空
CX,國泰航空
CZ,中國南方航空
DL,達美航空
EK,阿聯酋航空
LY,以色列航空
ET,衣索比亞航空
EY,阿提哈德航空
FJ,斐濟航空
GA,嘉魯達印尼航空
GK,捷星日本
HB,大灣區航空
HO,吉祥航空
HU,海南航空
HX,香港航空
HY,烏茲別克航空
IB,西班牙國家航空
IJ,春秋航空日本
IT,台灣虎航
JL,日本航空
JQ,捷星航空
KE,大韓航空
KL,荷蘭航空
LJ,真航空
LO,波蘭航空
LX,瑞士航空
MF,廈門航空
MH,馬來西亞航空
MM,樂桃航空
MS,埃及航空
MU,中國東方航空
NH,全日本空輸
NQ,Air Japan
NX,澳門航空
NZ,紐西蘭航空
OM,蒙古民用航空
OS,奧地利航空
OZ,韓亞航空
WE,帕拉塔航空
PG,曼谷航空
Z2,菲律賓亞洲航空
PR,菲律賓航空
PX,新畿內亞航空
QF,澳洲航空
QR,卡達航空
RA,尼泊爾航空
RS,首爾航空
SC,山東航空
SK,北歐航空
FM,上海航空
SQ,新加坡航空
SL,泰國獅子航空
JX,星宇航空
TG,泰國國際航空
TK,土耳其航空
TN,大溪地航空
TR,酷航
TW,德威航空
UA,聯合航空
UL,斯里蘭卡航空
UO,香港快運航空
VJ,越捷航空
VN,越南航空
WS,西捷航空
XJ,泰國全亞洲航空公司
ZE,易斯達航空
ZH,深圳航空
ZG,ZIPAIR Tokyo
K6,柬埔寨國家航空
VZ,泰國越捷航空
FD,泰國亞洲航空
