name,code,lat,lon
大阪關西,KIX,34.4305,135.23
仁川,ICN,37.4633,126.44
福岡,FUK,33.5859,130.451
札幌新千歲,CTS,42.7876,141.6772
澎湖,MZG,23.5687,119.628
東京成田,NRT,35.7653,140.386
上海浦東,PVG,31.1434,121.805
熊本,KMJ,32.8373,130.855
馬尼拉,MNL,14.5086,121.02
金門,KNH,24.4277,118.3591
香港,HKG,22.3089,113.915
廈門,XMN,24.544,118.128
胡志明市,SGN,10.8188,106.652
七美,CMJ,23.2096,119.4219
望安,WOT,23.3669,119.505
札幌,CTS,42.7876,141.6772
沖繩,OKA,26.1958,127.646
深圳,SZX,22.6393,113.811
河內,HAN,21.2212,105.807
澳門,MFM,22.1496,113.592
沖繩,OKA,26.1958,127.646
南竿,LZN,26.159,119.951
南京,NKG,31.742,118.862
武漢,WUH,30.7838,114.208
岡山,OKJ,34.7569,133.855
新加坡,SIN,1.35019,103.994
仙台,SDJ,38.1397,140.917
曼谷廊曼,DMK,13.9126,100.607
金浦,GMP,37.5583,126.7906
濟州,CJU,33.5113,126.493
釜山,PUS,35.1795,128.938
曼谷素萬那普,BKK,13.6811,100.747
名古屋,NGO,34.8584,136.805
重慶,CKG,29.7192,106.642
峴港,DAD,16.0439,108.199
吉隆坡,KUL,2.74558,101.71
寧波,NGB,29.8267,121.462
花蓮,HUN,24.0231,121.6109
福州,FOC,25.9351,119.663
