name,code,lat,lon
首爾仁川,ICN,37.4633,126.44
台北桃園,TPE,25.0777,121.233
香港,HKG,22.3089,113.915
札幌新千歲,CTS,42.7876,141.6772
福岡,FUK,33.5859,130.451
上海浦東,PVG,31.1434,121.805
沖繩,OKA,26.1958,127.646
釜山,PUS,35.1795,128.938
曼谷素萬那普,BKK,13.6811,100.747
高雄,KHH,22.5771,120.35
馬尼拉,MNL,14.5086,121.02
洛杉磯,LAX,33.9425,-118.408
大阪關西,KIX,34.4305,135.23
河內,HAN,21.2212,105.807
新加坡,SIN,1.35019,103.994
吉隆坡,KUL,2.74558,101.71
胡志明,SGN,10.8188,106.652
舊金山,SFO,37.619,-122.375
關島,GUM,13.4834,144.796
檀香山,HNL,21.3206,-157.924
溫哥華,YVR,49.1939,-123.184
宿霧,CEB,10.3075,123.979
名古屋,NGO,34.8584,136.805
烏蘭巴托,UBN,47.6516,106.822
松山,MYJ,33.8272,132.7
雅加達,CGK,-6.12556,106.656
高松,TAK,34.2142,134.016
曼谷廊曼,DMK,13.9126,100.607
熊本,KMJ,32.8373,130.855
清州,CJJ,36.717,127.499
大阪伊丹,ITM,34.7868,135.4387
墨西哥城,MEX,19.4363,-99.0721
布里斯本,BNE,-27.3842,153.117
多哈,DOH,25.2731,51.6081
石垣,ISG,24.3964,124.245
西雅圖,SEA,47.449,-122.309
芝加哥,ORD,41.9786,-87.9047
峴港,DAD,16.0439,108.199
休士頓,IAH,29.9844,-95.3414
伊斯坦堡,IST,41.2753,28.7519
大連,DLC,38.9657,121.539
華沙,WAW,52.1657,20.9671
墨爾本,MEL,-37.6733,144.843
北京,PEK,40.0725,116.598
福州,FOC,25.9351,119.663
旭川,AKJ,43.6708,142.447
哈爾濱,HRB,45.6234,126.25
宮崎,KMI,31.8772,131.449
聖地牙哥,SAN,32.7336,-117.19
杜拜,DXB,25.2528,55.3644
蒙特羅,YUL,45.4657,-73.7455
高知,KCZ,33.5461,133.669
阿布達比,AUH,24.433,54.6511
澳門,MFM,22.1496,113.592
凱恩斯,CNS,-16.8858,145.755
達拉斯,DFW,32.8968,-97.038
峇里島,DPS,-8.74817,115.167
大邱,TAE,35.8969,128.655
廈門,XMN,24.544,118.128
多倫多,YYZ,43.6797,-79.6227
阿姆斯特丹,AMS,52.3086,4.76389
奧克蘭,AKL,-37.0081,174.792
赫爾辛基,HEL,60.3172,24.9633
維也納,VIE,48.1103,16.5697
奄美,ASJ,28.4306,129.713
大分,OIT,33.4794,131.737
丹佛,DEN,39.8617,-104.673
深圳,SZX,22.6393,113.811
天津,TSN,39.1244,117.346
杭州,HGH,30.2295,120.434
卡加利,YYC,51.1139,-114.02
法蘭克福,FRA,50.0333,8.57056
紐華克,EWR,40.6925,-74.1686
長崎,NGS,32.9169,129.914
鹿兒島,KOJ,31.8034,130.719
波士頓,BOS,42.3643,-71.0052
臺中,RMQ,24.2647,120.621
新德里,DEL,28.5665,77.1031
克拉克,CRK,15.186,120.56
蘇黎世,ZRH,47.4647,8.54917
廣島,HIJ,34.4361,132.919
邦加羅爾,BLR,13.1979,77.7063
成都天府,TFU,30.319,104.445
瀋陽,SHE,41.6398,123.483
廣州,CAN,23.3924,113.299
可倫坡,CMB,7.18076,79.8841
汶萊,BWN,4.9442,114.928
重慶,CKG,29.7192,106.642
濟州,CJU,33.5113,126.493
馬德里,MAD,40.4719,-3.56264
臺拉維夫,TLV,32.0114,34.8867
布魯塞爾,BRU,50.9014,4.48444
伯斯,PER,-31.9403,115.967
孟買,BOM,19.0887,72.8679
加德滿都,KTM,27.6966,85.3591
塞班島,SPN,15.119,145.729
楠迪,NAN,-17.7554,177.443
莫爾茲比港,POM,-9.44338,147.22
長春,CGQ,43.9962,125.685
帛琉,ROR,7.36731,134.544
開羅,CAI,30.1219,31.4056
塔什干,TAS,41.2579,69.2812
聖荷賽,SJC,37.3626,-121.929
海口,HAK,19.9349,110.459
達卡,DAC,23.8433,90.3978
函館,HKD,41.77,140.822
拉斯維加斯,LAS,36.0801,-115.152
瓦雅塔港,PVR,20.6801,-105.254
基督城,CHC,-43.4894,172.532
利雅得,RUH,24.9576,46.6988
蒙特婁,MTY,25.7785,-100.107
大溪地帕皮提,PPT,-17.5537,-149.607
