name,code,lat,lon,,,,,,,,,,,,,,
台北桃園,TPE,25.0777,121.233,,,,,,,,,,,,,,
台中,RMQ,24.2647,120.621,,,,,,,,,,,,,,
高雄,KHH,22.5771,120.35,,,,,,,,,,,,,,
台南,TNN,22.9504,120.206,,,,,,,,,,,,,,
沖繩,OKA,26.1958,127.646,,,,,,,,,,,,,,
佐賀,HSG,33.1497,130.302,,,,,,,,,,,,,,
福岡,FUK,33.5859,130.451,,,,,,,,,,,,,,
大阪關西,KIX,34.4305,135.23,,,,,,,,,,,,,,
高知,KCZ,33.5461,133.669,,,,,,,,,,,,,,
岡山,OKJ,34.7569,133.855,,,,,,,,,,,,,,
東京成田,NRT,35.7653,140.386,,,,,,,,,,,,,,
東京羽田,HND,35.5533,139.781,,,,,,,,,,,,,,
名古屋,NGO,34.8584,136.805,,,,,,,,,,,,,,大阪
小松,KMQ,36.3946,136.407,,,,,,,,,,,,,,
新潟,KIJ,37.9559,139.121,,,,,,,,,,,,,,
仙台,SDJ,38.1397,140.917,,,,,,,,,,,,,,
福島,FKS,37.2274,140.431,,,,,,,,,,,,,,
秋田,AXT,39.6156,140.219,,,,,,,,,,,,,,
花卷,HNA,39.4286,141.135,,,,,,,,,,,,,,
函館,HKD,41.77,140.822,,,,,,,,,,,,,,
札幌新千歲,CTS,42.7876,141.6772,,,,,,,,,,,,,,
熊本,KMJ,32.8373,130.855,,,,,,,,,,,,,,
石垣島,ISG,24.3964,124.245,,,,,,,,,,,,,,
宮崎,KMI,31.8772,131.449,,,,,,,,,,,,,,
米子,YGJ,35.4922,133.236,,,,,,,,,,,,,,
大分,OIT,33.4794,131.737,,,,,,,,,,,,,,
首爾仁川,ICN,37.4633,126.44,,,,,,,,,,,,,,
首爾金浦,GMP,37.5655,126.8011,,,,,,,,,,,,,,
釜山,PUS,35.1795,128.938,,,,,,,,,,,,,,
濟州,CJU,33.5113,126.493,,,,,,,,,,,,,,
普吉島,HKT,8.1132,98.3169,,,,,,,,,,,,,,
峴港,DAD,16.0439,108.199,,,,,,,,,,,,,,
