name,code,lat,lon
臺北松山,TSA,25.0694,121.552
臺北桃園,TPE,25.0777,121.233
臺中,RMQ,24.2647,120.621
高雄,KHH,22.5771,120.35
香港,HKG,22.3089,113.915
廣州,CAN,23.3924,113.299
重慶,CKG,29.7192,106.642
福州,FOC,25.9351,119.663
北京,PEK,40.0725,116.598
上海浦東,PVG,31.1434,121.805
上海虹橋,SHA,31.1979,121.336
深圳,SZX,22.6393,113.811
成都天府,TFU,30.319,104.445
武漢,WUH,30.7838,114.208
廈門,XMN,24.544,118.128
東京盛沺,NRT,35.7653,140.386
東京東京,HND,35.5533,139.781
名古屋,NGO,34.8584,136.805
富山,TOY,36.6483,137.188
札幌新千歲,CTS,42.7876,141.6772
大阪關西,KIX,34.4305,135.23
高松,TAK,34.2142,134.016
廣島,HIJ,34.4361,132.919
福岡,FUK,33.5859,130.451
熊本,KMJ,32.8373,130.855
鹿兒島,KOJ,31.8034,130.719
北九州,KKJ,33.8459,131.035
沖繩,OKA,26.1958,127.646
首爾仁川,ICN,37.4633,126.44
首爾金浦,GMP,37.5655,126.8011
釜山,PUS,35.1795,128.938
金邊,KTI,12.488,106.055
雅加達,CGK,-6.12556,106.656
峇里島,DPS,-8.74817,115.167
吉隆坡,KUL,2.74558,101.71
檳城,PEN,5.29714,100.277
仰光,RGN,16.9073,96.1332
宿霧,CEB,10.3075,123.979
馬尼拉,MNL,14.5086,121.02
新加坡,SIN,1.35019,103.994
曼谷素萬那普,BKK,13.6811,100.747
清邁,CNX,18.7668,98.9626
峴港,DAD,16.0439,108.199
河內,HAN,21.2212,105.807
胡志明市,SGN,10.8188,106.652
布里斯本,BNE,-27.3842,153.117
墨爾本,MEL,-37.6733,144.843
雪梨,SYD,-33.9461,151.177
奧克蘭,AKL,-37.0081,174.792
帛琉,ROR,7.36731,134.544
倫敦希斯洛,LHR,51.4775,-0.461389
法蘭克福,FRA,50.0333,8.57056
阿姆斯特丹,AMS,52.3086,4.76389
布拉格,PRG,50.1008,14.26
維也納,VIE,48.1103,16.5697
羅馬,FCO,41.8003,12.2389
溫哥華,YVR,49.1939,-123.184
紐約,JFK,40.6397,-73.7789
洛杉磯,LAX,33.9425,-118.408
安大略,ONT,34.056,-117.601
西雅圖,SEA,47.449,-122.309
舊金山,SFO,37.619,-122.375
鳳凰城,PHX,33.4343,-112.012
