name,code,lat,lon
台北桃園,TPE,25.0777,121.233
台中,RMQ,24.2647,120.621
高雄,KHH,22.5771,120.35
澳門,MFM,22.1496,113.592
香港,HKG,22.3089,113.915
東京成田,NRT,35.7653,140.386
大阪關西,KIX,34.4305,135.23
神戶,UKB,34.6354,135.2261
名古屋,NGO,34.8584,136.805
福岡,FUK,33.5859,130.451
熊本,KMJ,32.8373,130.855
札幌新千歲,CTS,42.7876,141.6772
函館,HKD,41.77,140.822
仙台,SDJ,38.1397,140.917
沖繩,OKA,26.1958,127.646
高松,TAK,34.2142,134.016
宮古島,SHI,24.8267,125.145
釜山,PUS,35.1795,128.938
峴港,DAD,16.0439,108.199
富國島,PQC,10.1698,103.993
胡志明市,SGN,10.8188,106.652
河內,HAN,21.2212,105.807
檳城,PEN,5.29714,100.277
吉隆坡,KUL,2.74558,101.71
曼谷素萬那普,BKK,13.6811,100.747
清邁,CNX,18.7668,98.9626
雅加達,CGK,-6.12556,106.656
峇里島,DPS,-8.74817,115.167
新加坡,SIN,1.35019,103.994
宿霧,CEB,10.3075,123.979
馬尼拉,MNL,14.5086,121.02
克拉克,CRK,15.186,120.56
洛杉磯,LAX,33.9425,-118.408
安大略,ONT,34.056,-117.601
舊金山,SFO,37.619,-122.375
鳳凰城,PHX,33.4343,-112.012
西雅圖,SEA,47.449,-122.309
布拉格,PRG,50.1008,14.26
巴塞隆納,BCN,41.2971,2.07846
