name,code,lat,lon
臺北松山,TSA,25.0694,121.552
臺北桃園,TPE,25.0777,121.233
高雄,KHH,22.5771,120.35
香港,HKG,22.3089,113.915
澳門,MFM,22.1496,113.592
廣州,CAN,23.3924,113.299
重慶,CKG,29.7192,106.642
成都天府,TFU,30.319,104.445
杭州,HGH,30.2295,120.434
北京,PEK,40.0725,116.598
上海浦東,PVG,31.1434,121.805
上海虹橋,SHA,31.1979,121.336
深圳,SZX,22.6393,113.811
廈門,XMN,24.544,118.128
札幌新千歲,CTS,42.7876,141.6772
仙台,SDJ,38.1397,140.917
東京羽田,HND,35.5533,139.781
東京成田,NRT,35.7653,140.386
小松,KMQ,36.3946,136.407
大阪關西,KIX,34.4305,135.23
松山,MYJ,33.8272,132.7
福岡,FUK,33.5859,130.451
沖繩,OKA,26.1958,127.646
青森,AOJ,40.7347,140.691
神戶,UKB,34.6354,135.2261
首爾金浦,GMP,37.5655,126.8011
首爾仁川,ICN,37.4633,126.44
釜山,PUS,35.1795,128.938
馬尼拉,MNL,14.5086,121.02
宿霧,CEB,10.3075,123.979
克拉克,CRK,15.186,120.56
河內,HAN,21.2212,105.807
胡志明市,SGN,10.8188,106.652
峴港,DAD,16.0439,108.199
金邊,KTI,12.488,106.055
曼谷,BKK,13.6811,100.747
清邁,CNX,18.7668,98.9626
吉隆坡,KUL,2.74558,101.71
新加坡,SIN,1.35019,103.994
雅加達,CGK,-6.12556,106.656
峇里島,DPS,-8.74817,115.167
德里,DEL,28.5665,77.1031
布里斯班,BNE,-27.3842,153.117
倫敦希斯洛,LHR,51.4775,-0.461389
阿姆斯特丹,AMS,52.3086,4.76389
巴黎戴高樂,CDG,49.0097,2.54778
米蘭,MXP,45.6306,8.72811
維也納,VIE,48.1103,16.5697
慕尼黑,MUC,48.3538,11.7861
溫哥華,YVR,49.1939,-123.184
多倫多,YYZ,43.6797,-79.6227
西雅圖,SEA,47.449,-122.309
舊金山,SFO,37.619,-122.375
洛杉磯,LAX,33.9425,-118.408
達拉斯,DFW,32.8968,-97.038
休士頓,IAH,29.9844,-95.3414
芝加哥,ORD,41.9786,-87.9047
紐約甘迺迪,JFK,40.6397,-73.7789
華盛頓,IAD,38.9445,-77.4558
