name,code,lat,lon
台北桃園,TPE,25.0777,121.233
曼谷素萬那普,BKK,13.6811,100.747
上海浦東,PVG,31.1434,121.805
首爾仁川,ICN,37.4633,126.44
東京成田,NRT,35.7653,140.386
大阪關西,KIX,34.4305,135.23
北京,PEK,40.0725,116.598
馬尼拉,MNL,14.5086,121.02
新加坡,SIN,1.35019,103.994
高雄,KHH,22.5771,120.35
福岡,FUK,33.5859,130.451
杭州,HGH,30.2295,120.434
東京羽田,HND,35.5533,139.781
吉隆坡,KUL,2.74558,101.71
上海虹橋,SHA,31.1979,121.336
洛杉磯,LAX,33.9425,-118.408
倫敦希斯洛,LHR,51.4775,-0.461389
峴港,DAD,16.0439,108.199
北京大興,PKX,39.5101,116.4101
沖繩,OKA,26.1958,127.646
胡志明市,SGN,10.8188,106.652
雪梨,SYD,-33.9461,151.177
澳門,MFM,22.1496,113.592
成都雙流,CTU,30.5785,103.947
溫哥華,YVR,49.1939,-123.184
墨爾本,MEL,-37.6733,144.843
南京,NKG,31.742,118.862
河內,HAN,21.2212,105.807
舊金山,SFO,37.619,-122.375
臺中,RMQ,24.2647,120.621
名古屋,NGO,34.8584,136.805
雅加達,CGK,-6.12556,106.656
札幌新千歲,CTS,42.7876,141.6772
富國島,PQC,10.1698,103.993
普吉,HKT,8.1132,98.3169
廣州,CAN,23.3924,113.299
峇里島,DPS,-8.74817,115.167
重慶,CKG,29.7192,106.642
紐約甘迺迪,JFK,40.6397,-73.7789
昆明,KMG,25.1019,102.929
新德里,DEL,28.5665,77.1031
寧波,NGB,29.8267,121.462
檳城,PEN,5.29714,100.277
海口,HAK,19.9349,110.459
釜山,PUS,35.1795,128.938
西安,XIY,34.4471,108.752
多倫多,YYZ,43.6797,-79.6227
宿霧,CEB,10.3075,123.979
青島,TAO,36.2661,120.374
濟州,CJU,33.5113,126.493
金邊崇德,KTI,12.488,106.055
克拉克,CRK,15.186,120.56
福州,FOC,25.9351,119.663
伊斯坦堡,IST,41.2753,28.7519
武漢,WUH,30.7838,114.208
巴黎戴高樂,CDG,49.0097,2.54778
廈門,XMN,24.544,118.128
多哈,DOH,25.2731,51.6081
蘇黎世,ZRH,47.4647,8.54917
無錫,WUX,31.4944,120.429
清邁,CNX,18.7668,98.9626
法蘭克福,FRA,50.0333,8.57056
杜拜,DXB,25.2528,55.3644
布里斯本,BNE,-27.3842,153.117
馬爾地夫維拉納,MLE,4.19183,73.5291
奧克蘭,AKL,-37.0081,174.792
伯斯,PER,-31.9403,115.967
烏魯木齊,URC,43.9071,87.4742
亞庇,BKI,5.93721,116.051
阿姆斯特丹,AMS,52.3086,4.76389
三亞,SYX,18.3029,109.412
孟買,BOM,19.0887,72.8679
溫州,WNZ,27.9122,120.852
成都天府,TFU,30.319,104.445
曼谷廊曼,DMK,13.9126,100.607
加德滿都,KTM,27.6966,85.3591
烏蘭巴托,UBN,47.6516,106.822
濟南,TNA,36.8572,117.216
曼徹斯特,MAN,53.3537,-2.27495
米蘭,MXP,45.6306,8.72811
阿布達比,AUH,24.433,54.6511
可倫坡,CMB,7.18076,79.8841
赫爾辛基,HEL,60.3172,24.9633
泗水,SUB,-7.37983,112.787
天津,TSN,39.1244,117.346
約翰尼斯堡,JNB,-26.1392,28.246
邦加羅爾,BLR,13.1979,77.7063
長沙,CSX,28.1892,113.22
達拉斯,DFW,32.8968,-97.038
吉隆坡梳邦,SZB,3.13058,101.549
蘇梅島,USM,9.54779,100.062
波士頓,BOS,42.3643,-71.0052
清奈,MAA,12.99,80.1693
芝加哥,ORD,41.9786,-87.9047
海德拉巴,HYD,17.2313,78.4299
阿迪斯阿貝巴,ADD,8.97778,38.7994
鄭州,CGO,34.5197,113.841
大邱,TAE,35.8969,128.655
汶萊,BWN,4.9442,114.928
西雅圖,SEA,47.449,-122.309
羅馬,FCO,41.8003,12.2389
巴塞隆納,BCN,41.2971,2.07846
高松,TAK,34.2142,134.016
廣島,HIJ,34.4361,132.919
慕尼黑,MUC,48.3538,11.7861
莫爾茲比港,POM,-9.44338,147.22
布魯塞爾,BRU,50.9014,4.48444
合肥,HFE,31.78,117.298
石垣,ISG,24.3964,124.245
仙台,SDJ,38.1397,140.917
達卡,DAC,23.8433,90.3978
馬德里,MAD,40.4719,-3.56264
義烏,YIW,29.3447,120.032
蘭州,LHW,36.5152,103.62
常州,CZX,31.9197,119.779
楠迪,NAN,-17.7554,177.443
舟山,HSN,29.9342,122.362
太原,TYN,37.7469,112.628
張家界,DYG,29.1028,110.443
小松,KMQ,36.3946,136.407
南寧,NNG,22.6083,108.172
桂林,KWL,25.2181,110.039
宜昌,YIH,30.5565,111.48
麗江,LJG,26.68,100.246
運城,YCU,35.1164,111.031
大同,DAT,40.0603,113.482
帛琉,ROR,7.36731,134.544
呼倫貝爾海拉爾,HLD,49.205,119.825
長春,CGQ,43.9962,125.685
哈爾濱,HRB,45.6234,126.25
伊洛伊洛,ILO,10.833,122.493
塞班島,SPN,15.119,145.729
莫斯科謝列梅潔沃,SVO,55.9728,37.4147
銀川,INC,38.3228,106.393
恩施,ENH,30.3203,109.485
石家莊,SJW,38.2807,114.697
西寧,XNN,36.5275,102.043
敦煌,DNH,40.1611,94.8092
大連,DLC,38.9657,121.539
阿德雷德,ADL,-34.945,138.531
拉斯維加斯,LAS,36.0801,-115.152
利雅得,RUH,24.9576,46.6988
瀋陽,SHE,41.6398,123.483
基督城,CHC,-43.4894,172.532
達沃,DVO,7.12552,125.646
