name,code,lat,lon
上海浦東,PVG,31.1434,121.805
下地島,SHI,24.8267,125.145
大分,OIT,33.4794,131.737
大阪關西,KIX,34.4305,135.23
大邱,TAE,35.8969,128.655
大連,DLC,38.9657,121.539
小松,KMQ,36.3946,136.407
天津,TSN,39.1244,117.346
巴塞隆納,BCN,41.2971,2.07846
巴黎戴高樂,CDG,49.0097,2.54778
仙台,SDJ,38.1397,140.917
加德滿都,KTM,27.6966,85.3591
北京,PEK,40.0725,116.598
北京大興,PKX,39.5101,116.4101
卡加利,YYC,51.1139,-114.02
可倫坡,CMB,7.18076,79.8841
台北桃園,TPE,25.0777,121.233
布里斯本,BNE,-27.3842,153.117
布拉格,PRG,50.1008,14.26
札幌新千歲,CTS,42.7876,141.6772
石垣,ISG,24.3964,124.245
石家莊,SJW,38.2807,114.697
仰光,RGN,16.9073,96.1332
伊斯坦堡,IST,41.2753,28.7519
合肥,HFE,31.78,117.298
吉隆坡,KUL,2.74558,101.71
名古屋,NGO,34.8584,136.805
多哈,DOH,25.2731,51.6081
多倫多,YYZ,43.6797,-79.6227
成都天府,TFU,30.319,104.445
米子,YGJ,35.4922,133.236
米蘭,MXP,45.6306,8.72811
西安,XIY,34.4471,108.752
西雅圖,SEA,47.449,-122.309
佐賀,HSG,33.1497,130.302
克拉克,CRK,15.186,120.56
杜拜,DXB,25.2528,55.3644
汶萊,BWN,4.9442,114.928
沖繩,OKA,26.1958,127.646
亞庇,BKI,5.93721,116.051
宜昌,YIH,30.5565,111.48
岡山,OKJ,34.7569,133.855
拉斯維加斯,LAS,36.0801,-115.152
昆明,KMG,25.1019,102.929
杭州,HGH,30.2295,120.434
東京成田,NRT,35.7653,140.386
東京羽田,HND,35.5533,139.781
松山,MYJ,33.8272,132.7
武漢,WUH,30.7838,114.208
河內,HAN,21.2212,105.807
法蘭克福,FRA,50.0333,8.57056
波士頓,BOS,42.3643,-71.0052
芝加哥,ORD,41.9786,-87.9047
金邊德崇,KTI,12.488,106.055
長沙,CSX,28.1892,113.22
長春,CGQ,43.9962,125.685
長崎,NGS,32.9169,129.914
阿布達比,AUH,24.433,54.6511
阿姆斯特丹,AMS,52.3086,4.76389
阿迪斯阿貝巴,ADD,8.97778,38.7994
青島,TAO,36.2661,120.374
青森,AOJ,40.7347,140.691
南京,NKG,31.742,118.862
哈爾濱,HRB,45.6234,126.25
峇里島,DPS,-8.74817,115.167
洛杉磯,LAX,33.9425,-118.408
胡志明市,SGN,10.8188,106.652
重慶,CKG,29.7192,106.642
香港,HKG,22.3089,113.915
倫敦希斯洛,LHR,51.4775,-0.461389
宮崎,KMI,31.8772,131.449
峴港,DAD,16.0439,108.199
桂林,KWL,25.2181,110.039
海口,HAK,19.9349,110.459
烏蘭巴托,UBN,47.6516,106.822
神戶,UKB,34.6354,135.2261
紐約甘迺迪,JFK,40.6397,-73.7789
紐華克,EWR,40.6925,-74.1686
釜山,PUS,35.1795,128.938
馬尼拉,MNL,14.5086,121.02
馬德里,MAD,40.4719,-3.56264
高松,TAK,34.2142,134.016
高雄,KHH,22.5771,120.35
宿霧,CEB,10.3075,123.979
張家界,DYG,29.1028,110.443
曼谷素萬那普,BKK,13.6811,100.747
曼谷廊曼,DMK,13.9126,100.607
深圳,SZX,22.6393,113.811
清邁,CNX,18.7668,98.9626
雪梨,SYD,-33.9461,151.177
鹿兒島,KOJ,31.8034,130.719
富國島,PQC,10.1698,103.993
普吉,HKT,8.1132,98.3169
無錫,WUX,31.4944,120.429
華沙,WAW,52.1657,20.9671
華盛頓,IAD,38.9445,-77.4558
雅加達,CGK,-6.12556,106.656
塔什干,TAS,41.2579,69.2812
塞班島,SPN,15.119,145.729
奧克蘭,AKL,-37.0081,174.792
廈門,XMN,24.544,118.128
新加坡,SIN,1.35019,103.994
新德里,DEL,28.5665,77.1031
新潟,KIJ,37.9559,139.121
溫州,WNZ,27.9122,120.852
溫哥華,YVR,49.1939,-123.184
達拉斯,DFW,32.8968,-97.038
熊本,KMJ,32.8373,130.855
福州,FOC,25.9351,119.663
福岡,FUK,33.5859,130.451
維也納,VIE,48.1103,16.5697
臺中清泉崗,RMQ,24.2647,120.621
臺拉維夫,TLV,32.0114,34.8867
蒙特婁,YUL,45.4657,-73.7455
蒙特婁,MTY,25.7785,-100.107
赫爾辛基,HEL,60.3172,24.9633
墨西哥城,MEX,19.4363,-99.0721
廣州,CAN,23.3924,113.299
廣島,HIJ,34.4361,132.919
慕尼黑,MUC,48.3538,11.7861
鄭州,CGO,34.5197,113.841
澳門,MFM,22.1496,113.592
檀香山,HNL,21.3206,-157.924
濟州,CJU,33.5113,126.493
濟南,TNA,36.8572,117.216
瀋陽,SHE,41.6398,123.483
舊金山,SFO,37.619,-122.375
羅馬,FCO,41.8003,12.2389
關島,GUM,13.4834,144.796
蘇黎世,ZRH,47.4647,8.54917
芽莊,CXR,11.9982,109.219
延吉,YNJ,42.8828,129.451
煙臺,YNT,37.6572,120.987
亞特蘭大,ATL,33.6367,-84.4281
威海,WEH,37.1871,122.229
靜岡,FSZ,34.796,138.188
塔比拉蘭,TAG,9.66544,123.854
阿拉木圖,ALA,43.3521,77.0405
永珍,VTE,17.9883,102.563
布達佩斯,BUD,47.4298,19.2611
海防,HPH,20.8194,106.725
鹽湖城,SLC,40.7884,-111.978
長灘島卡利博,KLO,11.6794,122.376
明尼亞波里斯,MSP,44.882,-93.2218
北九州,KKJ,33.8459,131.035
罵納多萬鴉老,MDC,1.54926,124.926
底特律,DTW,42.2125,-83.3533
哥本哈根,CPH,55.6179,12.656
阿斯塔納,NQZ,51.0222,71.4669
奇姆肯特,CIT,42.3642,69.4789
長灘島卡迪克蘭,MPH,11.9245,121.954
德島,TKS,34.1328,134.607
