name,code,lat,lon
馬尼拉,MNL,14.5086,121.02
首爾仁川,ICN,37.4633,126.44
香港,HKG,22.3089,113.915
廣州,CAN,23.3924,113.299
深圳,SZX,22.6393,113.811
布里斯本,BNE,-27.3842,153.117
雪梨,SYD,-33.9461,151.177
東京羽田,HND,35.5533,139.781
檀香山,HNL,21.3206,-157.924
東京成田,NRT,35.7653,140.386
台北桃園,TPE,25.0777,121.233
首爾金浦,GMP,37.5655,126.8011
清州,CJJ,36.717,127.499
大邱,TAE,35.8969,128.655
沖繩,OKA,26.1958,127.646
釜山,PUS,35.1795,128.938
曼谷素萬那普,BKK,13.6811,100.747
新加坡,SIN,1.35019,103.994
洛杉磯,LAX,33.9425,-118.408
溫哥華,YVR,49.1939,-123.184
澳門,MFM,22.1496,113.592
舊金山,SFO,37.619,-122.375
札幌新千歲,CTS,42.7876,141.6772
高雄,KHH,22.5771,120.35
長崎,NGS,32.9169,129.914
曼谷廊曼,DMK,13.9126,100.607
巴黎戴高樂,CDG,49.0097,2.54778
吉隆坡,KUL,2.74558,101.71
慕尼黑,MUC,48.3538,11.7861
北海道女滿別,MMB,43.8806,144.164
清邁,CNX,18.7668,98.9626
杜拜,DXB,25.2528,55.3644
赫爾辛基,HEL,60.3172,24.9633
阿布達比,AUH,24.433,54.6511
多倫多,YYZ,43.6797,-79.6227
阿姆斯特丹,AMS,52.3086,4.76389
芝加哥,ORD,41.9786,-87.9047
帛琉,ROR,7.36731,134.544
福岡,FUK,33.5859,130.451
天津,TSN,39.1244,117.346
多哈,DOH,25.2731,51.6081
河內,HAN,21.2212,105.807
關島,GUM,13.4834,144.796
釧路,KUH,43.041,144.193
凱恩斯,CNS,-16.8858,145.755
宿霧,CEB,10.3075,123.979
伊斯坦堡,IST,41.2753,28.7519
仙台,SDJ,38.1397,140.917
鹿兒島,KOJ,31.8034,130.719
宮崎,KMI,31.8772,131.449
大連,DLC,38.9657,121.539
北京,PEK,40.0725,116.598
南京,NKG,31.742,118.862
上海浦東,PVG,31.1434,121.805
杭州,HGH,30.2295,120.434
無錫,WUX,31.4944,120.429
福州,FOC,25.9351,119.663
廈門,XMN,24.544,118.128
重慶,CKG,29.7192,106.642
濟南,TNA,36.8572,117.216
青島,TAO,36.2661,120.374
峴港,DAD,16.0439,108.199
胡志明市,SGN,10.8188,106.652
庵美,ASJ,28.4306,129.713
宮古島,MMY,24.7828,125.295
石垣,ISG,24.3964,124.245
烏蘭巴托,UBN,47.6516,106.822
