name,code,lat,lon
東京成田,NRT,35.7653,140.386
北京,PEK,40.0725,116.598
濟州,CJU,33.5113,126.493
吉隆坡,KUL,2.74558,101.71
名古屋,NGO,34.8584,136.805
釜山,PUS,35.1795,128.938
西雅圖,SEA,47.449,-122.309
香港,HKG,22.3089,113.915
富國島,PQC,10.1698,103.993
普吉,HKT,8.1132,98.3169
峴港,DAD,16.0439,108.199
大阪關西,KIX,34.4305,135.23
檳城,PEN,5.29714,100.277
宿霧,CEB,10.3075,123.979
上海浦東,PVG,31.1434,121.805
澳門,MFM,22.1496,113.592
胡志明市,SGN,10.8188,106.652
曼谷素萬那普,BKK,13.6811,100.747
克拉克,CRK,15.186,120.56
馬尼拉,MNL,14.5086,121.02
札幌新千歲,CTS,42.7876,141.6772
成都天府,TFU,30.319,104.445
福岡,FUK,33.5859,130.451
清邁,CNX,18.7668,98.9626
舊金山,SFO,37.619,-122.375
沖繩,OKA,26.1958,127.646
峇里島,DPS,-8.74817,115.167
仙台,SDJ,38.1397,140.917
河內,HAN,21.2212,105.807
首爾仁川,ICN,37.4633,126.44
金邊德崇,KTI,12.488,106.055
深圳,SZX,22.6393,113.811
杭州,HGH,30.2295,120.434
新潟,KIJ,37.9559,139.121
帛琉,ROR,7.36731,134.544
杜拜,DXB,25.2528,55.3644
雅加達,CGK,-6.12556,106.656
花卷,HNA,39.4286,141.135
函館,HKD,41.77,140.822
高松,TAK,34.2142,134.016
神戶,UKB,34.6354,135.2261
新加坡,SIN,1.35019,103.994
仰光,RGN,16.9073,96.1332
岡山,OKJ,34.7569,133.855
富山,TOY,36.6483,137.188
熊本,KMJ,32.8373,130.855
米子,YGJ,35.4922,133.236
廣州,CAN,23.3924,113.299
小松,KMQ,36.3946,136.407
福島,FKS,37.2274,140.431
青森,AOJ,40.7347,140.691
寧波,NGB,29.8267,121.462
重慶,CKG,29.7192,106.642
武漢,WUH,30.7838,114.208
芝加哥,ORD,41.9786,-87.9047
倫敦希斯洛,LHR,51.4775,-0.461389
伊斯坦堡,IST,41.2753,28.7519
大分,OIT,33.4794,131.737
法蘭克福,FRA,50.0333,8.57056
奧克蘭,AKL,-37.0081,174.792
洛杉磯,LAX,33.9425,-118.408
南京,NKG,31.742,118.862
秋田,AXT,39.6156,140.219
青島,TAO,36.2661,120.374
高知,KCZ,33.5461,133.669
阿姆斯特丹,AMS,52.3086,4.76389
下地島,SHI,24.8267,125.145
鹿兒島,KOJ,31.8034,130.719
廈門,XMN,24.544,118.128
廣島,HIJ,34.4361,132.919
汶萊,BWN,4.9442,114.928
松山,MYJ,33.8272,132.7
佐賀,HSG,33.1497,130.302
清州,CJJ,36.717,127.499
曼谷廊曼,DMK,13.9126,100.607
福州,FOC,25.9351,119.663
宮崎,KMI,31.8772,131.449
亞庇,BKI,5.93721,116.051
鄭州,CGO,34.5197,113.841
阿布達比,AUH,24.433,54.6511
關島,GUM,13.4834,144.796
石垣島,ISG,24.3964,124.245
東京羽田,HND,35.5533,139.781
巴黎戴高樂,CDG,49.0097,2.54778
慕尼黑,MUC,48.3538,11.7861
維也納,VIE,48.1103,16.5697
米蘭,MXP,45.6306,8.72811
休士頓,IAH,29.9844,-95.3414
華盛頓,IAD,38.9445,-77.4558
羅馬,FCO,41.8003,12.2389
雪梨,SYD,-33.9461,151.177
布里斯本,BNE,-27.3842,153.117
紐約甘迺迪,JFK,40.6397,-73.7789
墨爾本,MEL,-37.6733,144.843
安大略,ONT,34.056,-117.601
布拉格,PRG,50.1008,14.26
鳳凰城,PHX,33.4343,-112.012
多倫多,YYZ,43.6797,-79.6227
溫哥華,YVR,49.1939,-123.184
達拉斯,DFW,32.8968,-97.038
大邱,TAE,35.8969,128.655
德里,DEL,28.5665,77.1031
